cell_line,cancer_type
BR:MCF7,Breast
BR:MDA_MB_231,Breast
BR:HS578T,Breast
BR:BT_549,Breast
BR:T47D,Breast
CNS:SF_268,CNS
CNS:SF_295,CNS
CNS:SF_539,CNS
CNS:SNB_19,CNS
CNS:SNB_75,CNS
CNS:U251,CNS
CO:COLO205,Colon
CO:HCC_2998,Colon
CO:HCT_116,Colon
CO:HCT_15,Colon
CO:HT29,Colon
CO:KM12,Colon
CO:SW_620,Colon
LE:CCRF_CEM,Leukemia
LE:HL_60,Leukemia
LE:K_562,Leukemia
LE:MOLT_4,Leukemia
LE:RPMI_8226,Leukemia
LE:SR,Leukemia
ME:LOXIMVI h,Melanoma
ME:MALME_3M,Melanoma
ME:M14,Melanoma
ME:SK_MEL_2,Melanoma
ME:SK_MEL_28,Melanoma
ME:SK_MEL_5,Melanoma
ME:UACC_257,Melanoma
ME:UACC_62,Melanoma
ME:MDA_MB_435 i,Melanoma
ME:MDA_N j,Melanoma
LC:A549,Lung
LC:EKVX,Lung
LC:HOP_62,Lung
LC:HOP_92,Lung
LC:NCI_H226,Lung
LC:NCI_H23,Lung
LC:NCI_H322M,Lung
LC:NCI_H460,Lung
LC:NCI_H522,Lung
OV:IGROV1,Ovarian
OV:OVCAR_3,Ovarian
OV:OVCAR_4,Ovarian
OV:OVCAR_5,Ovarian
OV:OVCAR_8,Ovarian
OV:SK_OV_3,Ovarian
OV:NCI_ADR_RES k,Ovarian
PR:PC_3,Prostate
PR:DU_145,Prostate
RE:786_0,Renal
RE:A498,Renal
RE:ACHN,Renal
RE:CAKI_1,Renal
RE:RXF_393,Renal
RE:SN12C,Renal
RE:TK_10,Renal
RE:UO_31,Renal
