protein,loading,abs_loading
V1356,0.05082604914676442,0.05082604914676442
V1038,0.0504846974180396,0.0504846974180396
V763,0.04863750720754366,0.04863750720754366
V2970,0.04793819965869882,0.04793819965869882
V741,0.04718028834169661,0.04718028834169661
V1913,0.04716715761460106,0.04716715761460106
V880,0.04657632068525481,0.04657632068525481
V827,0.04638736967167922,0.04638736967167922
V2948,0.0461635856539332,0.0461635856539332
V2656,0.04582262964750707,0.04582262964750707
V255,0.04538656264419837,0.04538656264419837
V752,0.04535906084443176,0.04535906084443176
V423,0.04532440183531332,0.04532440183531332
V3008,0.04528115509075971,0.04528115509075971
V1363,0.04505775832633799,0.04505775832633799
V2301,0.04478531617054916,0.04478531617054916
V1657,0.04470213576990336,0.04470213576990336
V2922,0.04456888760962773,0.04456888760962773
V1479,0.04456800813446886,0.04456800813446886
V387,0.04424333815399577,0.04424333815399577
