gene,loading
V1751,-0.0188654913394481
V967,-0.01862978185848459
V22174,-0.01832019708751823
V10378,-0.01828949978874502
V14597,0.01815574574221764
V6991,-0.01814348893435627
V2689,-0.01809105224609267
V7991,-0.01803862626443135
V5931,-0.01795785091698205
V10436,-0.01792969468319471
V4663,0.01783467527194712
V5352,-0.01781518583362176
V2092,-0.01775982451085794
V1701,-0.01775264992262637
V15348,0.01769053639749022
V3434,0.01766600893990671
V16786,-0.01759584049804281
V9106,0.01755207245595981
V5266,-0.01751598300506659
V25828,-0.01744797684309096
V927,-0.01736205655230562
V11484,-0.01731998862188842
V18472,-0.01722390481149484
V21194,-0.01721833270903127
V1998,-0.01721074360823197
V5277,-0.01719809603433427
V1960,-0.01719460770305764
V9885,-0.01710288963996514
V12142,0.0170795588572019
V24727,-0.01707644282119869
V201,-0.01705471347331425
V12705,-0.01704668121641321
V13939,-0.01703884786714496
V16444,0.01702357402963471
V3630,-0.01697120608843936
V5161,-0.01696403974920322
V7983,-0.01695563423279974
V7679,-0.01695281797663293
V4520,-0.01693109528988544
V25358,-0.01689186022118088
V11389,-0.01683808168613654
V12229,-0.01683247460513788
V11725,-0.01667125492754725
V5001,-0.01666133980091385
V13991,-0.0166090060846496
V3046,-0.01660297462558852
V23753,0.01658929863009163
V15858,-0.0165892408573939
V17853,0.01658898847593018
V8734,-0.0165718709810762
