nsc,drug_name,fda_status,mechanism,pubchem,smiles,source_column,missing_rate,fda_approved,has_mechanism,category,clean_feature_name
673596,7-Ethyl-10-hydroxycamptothecin,FDA approved,TOP1,515301.0,CCc1c2CN3C(=O)C4=C(C=C3c2nc5ccc(O)cc15)[C@@](O)(CC)C(=O)OC4,V10753,0,TRUE,TRUE,dna_damaging,NSC_673596_7_Ethyl_10_hydroxycamptothecin
630176,Depsipeptide,FDA approved,HDAC,494874.0,C\C=C\1/NC(=O)[C@H]2CSSCC\C=C\[C@H](CC(=O)N[C@H](C(C)C)C(=O)N2)OC(=O)[C@@H](NC1=O)C(C)C,V5960,0,TRUE,TRUE,targeted_agent,NSC_630176_Depsipeptide
82151,Daunorubicin,FDA approved,TOP2,301154.0,COc1cccc2C(=O)c3c(O)c4C[C@](O)(C[C@H](OC5CC(N)C(O)C(C)O5)c4c(O)c3C(=O)c12)C(=O)C,V1414,0,TRUE,TRUE,dna_damaging,NSC_82151_Daunorubicin
722134,Sonolisib,Clinical trial,PK:PIK3,4.40804514E8,COC[C@H]1OC(=O)\C(=C/N(CC=C)CC=C)\C2=C(O)C(=O)C3=C([C@@H](C[C@@]4(C)[C@H]3CCC4=O)OC(=O)C)[C@@]12C,V17092,0,TRUE,TRUE,kinase_inhibitor,NSC_722134_Sonolisib
707389,Eribulin mesilate,FDA approved,TUBB,529374.0,CO[C@H]1[C@@H](C[C@H](O)CN)O[C@H]2C[C@H]3OC(CC[C@@H]4O[C@@H](CC[C@@]56C[C@H]7O[C@@H]8[C@@H](O[C@H]9CC[C@H](CC(=O)C[C@H]12)O[C@@H]9[C@@H]8O5)[C@H]7O6)CC4=C)C[C@@H](C)C3=C,V15192,0,TRUE,TRUE,other_annotated,NSC_707389_Eribulin_mesilate
182986,AZQ,-,A7,447393.0,CCOC(=O)NC1=C(N2CC2)C(=O)C(=C(N3CC3)C1=O)NC(=O)OCC,V2764,0,FALSE,TRUE,dna_damaging,NSC_182986_AZQ
145668,Ancitabine hydrochloride,FDA approved,Ds,301205.0,OCC1OC2C(OC3=NC(=N)C=CN23)C1O,V2393,0,TRUE,TRUE,dna_damaging,NSC_145668_Ancitabine_hydrochloride
241240,Carboplatin,FDA approved,A7|AlkAg,568180.0,N[Pt+2]1(N)[O-]C(=O)C2(CCC2)C(=O)[O-]1,V2980,0,TRUE,TRUE,dna_damaging,NSC_241240_Carboplatin
707545,Alvespimycin,Clinical trial,HSP90,529444.0,CO[C@@H]1C[C@H](C)CC2=C(NCCN(C)C)C(=O)C=C(NC(=O)\C(=C\C=C/[C@@H](OC)[C@H](OC(=O)N)\C(=C\[C@@H](C)[C@@H]1O)\C)\C)C2=O,V15215,0,TRUE,TRUE,targeted_agent,NSC_707545_Alvespimycin
760183,(+)-JQ1,Clinical trial,BRD,4.40809169E8,Cc1sc2c(C(=N[C@@H](CC(=O)OC(C)(C)C)c3nnc(C)n23)c4ccc(Cl)cc4)c1C,V20606,0.0166666666666667,TRUE,TRUE,targeted_agent,NSC_760183_JQ1
781515,AMG-232,Clinical trial,MDM2,4.40807277E8,CC(C)[C@@H](CS(=O)(=O)C(C)C)N1[C@@H]([C@H](C[C@](C)(CC(=O)O)C1=O)c2cccc(Cl)c2)c3ccc(Cl)cc3,V21961,0.0166666666666667,TRUE,TRUE,targeted_agent,NSC_781515_AMG_232
