"cell_line","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61"
"Cell Line Name","BR:MCF7","BR:MDA_MB_231","BR:HS578T","BR:BT_549","BR:T47D","CNS:SF_268","CNS:SF_295","CNS:SF_539","CNS:SNB_19","CNS:SNB_75","CNS:U251","CO:COLO205","CO:HCC_2998","CO:HCT_116","CO:HCT_15","CO:HT29","CO:KM12","CO:SW_620","LE:CCRF_CEM","LE:HL_60","LE:K_562","LE:MOLT_4","LE:RPMI_8226","LE:SR","ME:LOXIMVI h","ME:MALME_3M","ME:M14","ME:SK_MEL_2","ME:SK_MEL_28","ME:SK_MEL_5","ME:UACC_257","ME:UACC_62","ME:MDA_MB_435 i","ME:MDA_N j","LC:A549","LC:EKVX","LC:HOP_62","LC:HOP_92","LC:NCI_H226","LC:NCI_H23","LC:NCI_H322M","LC:NCI_H460","LC:NCI_H522","OV:IGROV1","OV:OVCAR_3","OV:OVCAR_4","OV:OVCAR_5","OV:OVCAR_8","OV:SK_OV_3","OV:NCI_ADR_RES k","PR:PC_3","PR:DU_145","RE:786_0","RE:A498","RE:ACHN","RE:CAKI_1","RE:RXF_393","RE:SN12C","RE:TK_10","RE:UO_31"
"tissue of origin a","Breast","Breast","Breast","Breast","Breast","Central nervous system","Central nervous system","Central nervous system","Central nervous system","Central nervous system","Central nervous system","Colon","Colon","Colon","Colon","Colon","Colon","Colon","Leukemia","Leukemia","Leukemia","Leukemia","Leukemia","Leukemia","Melanoma","Melanoma","Melanoma","Melanoma","Melanoma","Melanoma","Melanoma","Melanoma","Melanoma","Melanoma","Non-Small Cell Lung","Non-Small Cell Lung","Non-Small Cell Lung","Non-Small Cell Lung","Non-Small Cell Lung","Non-Small Cell Lung","Non-Small Cell Lung","Non-Small Cell Lung","Non-Small Cell Lung","Ovarian","Ovarian","Ovarian","Ovarian","Ovarian","Ovarian","Ovarian","Prostate","Prostate","Renal","Renal","Renal","Renal","Renal","Renal","Renal","Renal"
"age a","69","51","74","72","54","24","67","34","47","NA","75","70","NA","NA","NA","44","NA","51","4","36","53","19","61","11","58","43","NA","60","51","24","NA","NA","31","31","58","NA","60","62","NA","NA","52","NA","NA","47","60","42","67","64","64","NA","62","69","58","52","22","49","54","43","43","NA"
"sex a","F","F","F","F","F","F","F","F","M","F","M","M","NA","M","NA","F","NA","M","F","F","F","M","M","M","M","M","NA","M","M","F","NA","NA","F","F","M","M","F","M","M","M","M","M","M","F","F","F","F","F","F","F","M","M","M","F","M","M","M","M","M","F"
"prior treatment a,b","NA","NA","NA","NA","NA","Rad","Rad","Rad/BCNU/5FU/HU/6MP","None","None","NA","NA","NA","NA","None","None","None","NA","Rad/Mtx/Ctx","None","Bisulfan/PiBr","VB/6MP/Pred","None","None","None","None","NA","None","None","None","NA","NA","NA","NA","NA","NA","None","None","None (non smoker)","None","None","NA","None","Rad","CyPh/CsPt/Adr","CyPh/CsPt/Adr","None","Ctx/Adr/CsPt/CyPh","Thiotepa","NA","NA","Androgen independent and unresposive to hormone therapy","None","NA","Rad/VB/CCNU/Mto/Pred","Rad/HU/5FU/Mtx/Ctx","None","None","None","None"
"Epithelial","yes","yes","yes","yes","yes","no","no","no","no","no","no","yes","yes","yes","yes","yes","yes","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"histology a,c","Adenocarcinoma- mammary gland; breast; metastatic site: pleural effusion;","Adenocarcinoma-mammary gland; breast; epithelial; metastatic site: pleural effusion;","Carcinosarcoma-mammary gland; breast","Papillary infiltrating ductal carcinoma-mammary gland; breast","infiltrating ductal carcinoma","Glioblastoma, ud","Glioblastoma, ud","Glial cell neoplasm","Glioblastoma, ud","Astrocytoma","Glioblastoma,ud","Adenocarcinoma","carcinoma","carcinoma-vpd","Adenocarcinoma p/md","Adenocarcinoma-md","Adenocarcinome-pd","Carcinoma-ud","ALL","Pro myelocytic leukemia","CML","ALL (cells were taken when patient was in relapse)","Myeloma","Lymphoma","Malignant amelanotic melanoma","Malignant melanotic melanoma","Melanotic melanoma","Malignant melanotic melanoma","Malignant melanotic melanoma","Malignant melanotic melanoma","Melanotic melanoma","Melanotic melanoma","Ductal carcinoma- mammary gland; breast; duct; metastatic site: pleural effusion;","Ductal carcinoma- mammary gland; breast; duct; metastatic site: pleural effusion;","Adenocarcinoma-p/md","Adenocarcinoma-md","adenocarcinoma-ud","Large cell-ud","Squamous cell carcinoma-vpd","Adenocarcinoma-ud","Small cell Bronchioalveolar Carcinoma","Large Cell Carcinoma-ud","Adenocarcinoma-vpd","Cystoadenocarcinoma-pd","Adenocarcinoma-md","Adenocarcinoma-md","Adenocarcinoma-wd","Carcinoma-ud","Adenocarcinoma-vpd","Adenocarinoma","Adenocarcinoma- prostate; metastatic site: bone;","prostate; metastatic site: brain; carcinoma (patient with metastatic carcinoma of the prostate and a 3 year history of lymphocytic leukemia.)","Adenocarcinoma","Adenocarcinoma","Renal cell carcinoma-p/md","Clear cell carcinoma","hypernephroma-pd","Renal cell carcinoma-pd","Renal Spindle cell carcinoma","Renal cell carcinoma-vpd"
"source","Pleural effusion","Pleural effusion","Primary","Metastasis","NA","NA","NA","NA","NA","NA","NA","Ascites","NA","NA","NA","Primary","NA","NA","NA","PBL","Pleural effusion","PB","PB","NA","NA","Metastasis","NA","Metastasis","NA","Metastasis","NA","NA","Pleural effusion","Pleural effusion","NA","NA","NA","NA","NA","NA","NA","Pleural effusion","NA","NA","Ascites","NA","NA","NA","Ascites","NA","NA","Metastasis","NA","NA","NA","Metastasis","NA","NA","NA","NA"
"ploidy d","3n-, Hypotriploid (58-68)","2n+, Hyperdiploid (47-57)","2n+, Hyperdiploid (47-57)","3n+/-, Near-triploid 69+/- (58-80)","2n+, Hyperdiploid (47-57)","2n+, Hyperdiploid (47-57)","5n+/-, Near-pentaploid 115+/- (104-126)","4n+/-, Near-tetraploid 92+/- (81-103)","3n+/-, Near-triploid 69+/- (58-80)","2n+, Hyperdiploid (47-57)","2n+, Hyperdiploid (47-57)","3n, Triploid (69)","2n+/-, Near-diploid 46+/- (35-57)","2n-, Hypodiploid (35-45)","2n+/-, Near-diploid 46+/- (35-57)","3n+/-, Near-triploid 69+/- (58-80)","2n+/-, Near-diploid 46+/- (35-57)","2n+/-, Near-diploid 46+/- (35-57)","2n+/-, Near-diploid 46+/- (35-57)","2n+/-, Near-diploid 46+/- (35-57)","3n-, Hypotriploid (58-68)","4n, Tetraploid (92)","3n-, Hypotriploid (58-68)","2n+/-, Near-diploid 46+/- (35-57)","3n+/-, Near-triploid 69+/- (58-80)","4n+/-, Near-tetraploid 92+/- (81-103)","3n+/-, Near-triploid 69+/- (58-80)","4n-, Hypotetraploid (81-91)","4n-, Hypotetraploid (81-91)","4n+, Hypertetraploid (93-103)","3n+, Hypertriploid (70-80)","3n+/-, Near-triploid 69+/- (58-80)","2n+, Hyperdiploid (47-57)","NA","3n+/-, Near-triploid 69+/- (58-80)","3n+/-, Near-triploid 69+/- (58-80)","4n+, Hypertetraploid (93-103)","4n+/-, Near-tetraploid 92+/- (81-103)","3n, Triploid (69)","2n+, Hyperdiploid (47-57)","2n+/-, Near-diploid 46+/- (35-57)","2n+/-, Near-diploid 46+/- (35-57)","2n+/-, Near-diploid 46+/- (35-57)","4n+/-, Near-tetraploid 92+/- (81-103)","3n+/-, Near-triploid 69+/- (58-80)","3n+/-, Near-triploid 69+/- (58-80)","2n+, Hyperdiploid (47-57)","2n+, Hyperdiploid (47-57)","4n+/-, Near-tetraploid 92+/- (81-103)","2n+/-, Near-diploid 46+/- (35-57)","4n, Tetraploid (92)","3n+/-, Near-triploid 69+/- (58-80)","4n+/-, Near-tetraploid 92+/- (81-103)","3n, Triploid (69)","2n+/-, Near-diploid 46+/- (35-57)","3n, Triploid (69)","3n+/-, Near-triploid 69+/- (58-80)","3n, Triploid (69)","4n, Tetraploid (92)","2n+/-, Near-diploid 46+/- (35-57)"
"p53 e","WT","MT","MT","?","MT","MT","MT","WT","MT","MT","MT","MT","MT","?","?","MT","MT","MT","MT","MT","MT","WT","WT","?","WT","WT","MT","WT","MT","WT","WT","WT","MT","MT","WT","MT","MT","MT","MT","MT","MT","WT","MT","MT","MT","WT","MT","MT","?","MT","MT","?","MT","WT","WT","WT","MT","MT","MT","WT"
